LAMMPS data file Created by LigParGen - (Written by Leela S. Dodda)

      44 atoms
      43 bonds
      78 angles
      81 dihedrals
      24 impropers
 
      44 atom types
      43 bond types
      78 angle types
      81 dihedral types
      24 improper types
 
  -16.225070    33.774930 xlo xhi
   -4.988590    45.011410 ylo yhi
   -1.037160    48.962840 zlo zhi

Masses

       1     12.011  
       2     15.999  
       3     12.011  
       4     12.011  
       5     15.999  
       6     12.011  
       7     12.011  
       8     15.999  
       9     12.011  
      10     12.011  
      11     15.999  
      12     12.011  
      13     12.011  
      14     15.999  
      15     12.011  
      16     12.011  
      17     15.999  
      18     12.011  
      19      1.008  
      20      1.008  
      21      1.008  
      22      1.008  
      23      1.008  
      24      1.008  
      25      1.008  
      26      1.008  
      27      1.008  
      28      1.008  
      29      1.008  
      30      1.008  
      31      1.008  
      32      1.008  
      33      1.008  
      34      1.008  
      35      1.008  
      36      1.008  
      37      1.008  
      38      1.008  
      39      1.008  
      40      1.008  
      41      1.008  
      42      1.008  
      43      1.008  
      44      1.008  

Pair Coeffs 

       1      0.066  3.5000000 
       2      0.140  2.9000000 
       3      0.066  3.5000000 
       4      0.066  3.5000000 
       5      0.140  2.9000000 
       6      0.066  3.5000000 
       7      0.066  3.5000000 
       8      0.140  2.9000000 
       9      0.066  3.5000000 
      10      0.066  3.5000000 
      11      0.140  2.9000000 
      12      0.066  3.5000000 
      13      0.066  3.5000000 
      14      0.140  2.9000000 
      15      0.066  3.5000000 
      16      0.066  3.5000000 
      17      0.140  2.9000000 
      18      0.066  3.5000000 
      19      0.030  2.5000000 
      20      0.030  2.5000000 
      21      0.030  2.5000000 
      22      0.030  2.5000000 
      23      0.030  2.5000000 
      24      0.030  2.5000000 
      25      0.030  2.5000000 
      26      0.030  2.5000000 
      27      0.030  2.5000000 
      28      0.030  2.5000000 
      29      0.030  2.5000000 
      30      0.030  2.5000000 
      31      0.030  2.5000000 
      32      0.030  2.5000000 
      33      0.030  2.5000000 
      34      0.030  2.5000000 
      35      0.030  2.5000000 
      36      0.030  2.5000000 
      37      0.030  2.5000000 
      38      0.030  2.5000000 
      39      0.030  2.5000000 
      40      0.030  2.5000000 
      41      0.030  2.5000000 
      42      0.030  2.5000000 
      43      0.030  2.5000000 
      44      0.030  2.5000000 

Bond Coeffs 

       1   320.0000     1.4100 
       2   320.0000     1.4100 
       3   268.0000     1.5290 
       4   320.0000     1.4100 
       5   320.0000     1.4100 
       6   268.0000     1.5290 
       7   320.0000     1.4100 
       8   320.0000     1.4100 
       9   268.0000     1.5290 
      10   320.0000     1.4100 
      11   320.0000     1.4100 
      12   268.0000     1.5290 
      13   320.0000     1.4100 
      14   320.0000     1.4100 
      15   268.0000     1.5290 
      16   320.0000     1.4100 
